alpha,beta,utility_func_name,vcg_price_per_credit,shapley_samples,exact_shapley_threshold,core_check_threshold,n_farmers_analyzed,random_seed,shapley_calculation_method,shapley_values_gini,core_check_performed,is_shapley_in_core,blocking_coalitions_count,vcg_num_winners,vcg_total_surplus,vcg_total_payments,vcg_payments_gini,vcg_individual_rationality_met,vcg_budget_balance,vcg_efficiency_metric,avg_shapley_utility,computation_time_sec
0.7,0.2,logarithmic,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,20.2271901901251,8.559130907058716
0.7,0.2,logarithmic,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,20.2271901901251,8.58139944076538
0.7,0.4,linear,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,1260143421.4285715,8.506742715835571
0.7,0.4,linear,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,1260143421.4285715,8.528103828430176
0.7,0.4,linear,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,1260143421.4285715,8.537427186965942
0.7,0.4,linear,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,1260143421.4285715,8.51176929473877
0.7,0.4,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,1260143421.4285715,8.579444885253906
0.7,0.4,linear,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,1260143421.4285715,8.493381261825562
0.7,0.4,logarithmic,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,20.92032558638157,8.585770845413208
0.7,0.4,logarithmic,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,20.92032558638157,8.597210884094238
0.7,0.4,logarithmic,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,20.92032558638157,8.694228887557983
0.7,0.4,logarithmic,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,20.92032558638157,8.625407934188843
0.7,0.4,logarithmic,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,20.92032558638157,8.516552925109863
0.7,0.4,logarithmic,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,20.92032558638157,9.38308048248291
0.7,0.6000000000000001,linear,1000.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,1890207707.142857,8.86027717590332
0.7,0.6000000000000001,linear,1300.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,1890207707.142857,8.788262844085693
0.7,0.6000000000000001,linear,1600.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,1890207707.142857,8.76517653465271
0.7,0.6000000000000001,linear,1900.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,1890207707.142857,8.714007139205933
0.7,0.6000000000000001,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,1890207707.142857,8.764453172683716
0.7,0.6000000000000001,linear,2500.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,1890207707.142857,8.87208080291748
0.7,0.6000000000000001,logarithmic,1000.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.325786766357716,8.786052465438843
0.7,0.6000000000000001,logarithmic,1300.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.325786766357716,8.88948941230774
0.7,0.6000000000000001,logarithmic,1600.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,21.325786766357716,8.673156023025513
